Chance,Briscola Chance,Wins,Losses,Ties
0.7,0.75,42,58,0
0.65,0.75,42,53,5
0.6,0.75,36,58,6
0.55,0.75,38,58,4
0.5,0.75,46,53,1
0.45,0.75,42,51,7
0.4,0.75,44,55,1
0.35,0.75,41,58,1
0.3,0.75,50,46,4
0.25,0.75,45,52,3
0.2,0.75,46,52,2
0.15,0.75,45,54,1
0.1,0.75,49,50,1
0.05,0.75,47,52,1
0.95,0.7,44,55,1
0.9,0.7,43,53,4
0.85,0.7,50,46,4
0.8,0.7,38,59,3
0.75,0.7,46,51,3
0.7,0.7,33,62,5
0.65,0.7,44,54,2
0.6,0.7,44,53,3
0.55,0.7,42,57,1
0.5,0.7,52,45,3
0.45,0.7,39,59,2
0.4,0.7,39,57,4
0.35,0.7,44,53,3
0.3,0.7,39,58,3
0.25,0.7,44,56,0
0.2,0.7,39,57,4
0.15,0.7,42,54,4
0.1,0.7,39,57,4
0.05,0.7,48,49,3
0.95,0.65,48,51,1
0.9,0.65,45,55,0
0.85,0.65,42,58,0
0.8,0.65,35,62,3
0.75,0.65,41,57,2
0.7,0.65,41,55,4
0.65,0.65,35,61,4
0.6,0.65,51,47,2
0.55,0.65,48,46,6
0.5,0.65,47,50,3
0.45,0.65,44,52,4
0.4,0.65,47,51,2
0.35,0.65,43,55,2
0.3,0.65,48,49,3
0.25,0.65,48,48,4
0.2,0.65,46,53,1
0.15,0.65,48,50,2
0.1,0.65,47,49,4
0.05,0.65,45,52,3
0.95,0.6,39,57,4
0.9,0.6,46,51,3
0.85,0.6,36,62,2
0.8,0.6,48,47,5
0.75,0.6,49,49,2
0.7,0.6,45,54,1
0.65,0.6,45,50,5
0.6,0.6,61,37,2
0.55,0.6,50,48,2
0.5,0.6,46,53,1
0.45,0.6,48,48,4
0.4,0.6,54,46,0
0.35,0.6,46,51,3
0.3,0.6,44,56,0
0.25,0.6,49,49,2
0.2,0.6,51,45,4
0.15,0.6,52,47,1
0.1,0.6,60,39,1
0.05,0.6,51,46,3
0.95,0.55,43,56,1
0.9,0.55,45,52,3
0.85,0.55,45,55,0
0.8,0.55,43,54,3
0.75,0.55,44,53,3
0.7,0.55,41,56,3
0.65,0.55,42,57,1
0.6,0.55,47,51,2
0.55,0.55,51,48,1
0.5,0.55,54,40,6
0.45,0.55,57,42,1
0.4,0.55,52,47,1
0.35,0.55,47,50,3
0.3,0.55,54,43,3
0.25,0.55,50,48,2
0.2,0.55,53,43,4
0.15,0.55,57,42,1
0.1,0.55,60,37,3
0.05,0.55,51,48,1
0.95,0.5,48,50,2
0.9,0.5,46,51,3
0.85,0.5,46,53,1
0.8,0.5,41,59,0
0.75,0.5,49,47,4
0.7,0.5,45,54,1
0.65,0.5,37,59,4
0.6,0.5,49,47,4
0.55,0.5,52,46,2
0.5,0.5,43,56,1
0.45,0.5,44,55,1
0.4,0.5,51,47,2
0.35,0.5,57,39,4
0.3,0.5,53,42,5
0.25,0.5,55,44,1
0.2,0.5,51,46,3
0.15,0.5,57,40,3
0.1,0.5,60,40,0
0.05,0.5,58,40,2
0.95,0.45,40,59,1
0.9,0.45,51,47,2
0.85,0.45,36,59,5
0.8,0.45,46,52,2
0.75,0.45,41,59,0
0.7,0.45,47,53,0
0.65,0.45,45,55,0
0.6,0.45,49,48,3
0.55,0.45,51,45,4
0.5,0.45,46,53,1
0.45,0.45,51,46,3
0.4,0.45,44,51,5
0.35,0.45,59,40,1
0.3,0.45,48,50,2
0.25,0.45,51,39,10
0.2,0.45,60,38,2
0.15,0.45,59,37,4
0.1,0.45,50,47,3
0.05,0.45,61,36,3
0.95,0.4,45,53,2
0.9,0.4,42,55,3
0.85,0.4,39,58,3
0.8,0.4,43,55,2
0.75,0.4,34,62,4
0.7,0.4,44,54,2
0.65,0.4,53,43,4
0.6,0.4,48,51,1
0.55,0.4,47,49,4
0.5,0.4,51,47,2
0.45,0.4,55,44,1
0.4,0.4,59,37,4
0.35,0.4,47,47,6
0.3,0.4,58,40,2
0.25,0.4,61,36,3
0.2,0.4,56,41,3
0.15,0.4,54,43,3
0.1,0.4,57,40,3
0.05,0.4,47,52,1
0.95,0.35,40,58,2
0.9,0.35,37,61,2
0.85,0.35,41,58,1
0.8,0.35,43,55,2
0.75,0.35,44,54,2
0.7,0.35,39,61,0
0.65,0.35,51,49,0
0.6,0.35,46,51,3
0.55,0.35,49,48,3
0.5,0.35,52,45,3
0.45,0.35,64,31,5
0.4,0.35,60,37,3
0.35,0.35,49,48,3
0.3,0.35,59,41,0
0.25,0.35,49,48,3
0.2,0.35,54,45,1
0.15,0.35,58,40,2
0.1,0.35,60,36,4
0.05,0.35,67,30,3
0.95,0.3,43,56,1
0.9,0.3,43,52,5
0.85,0.3,41,57,2
0.8,0.3,47,52,1
0.75,0.3,45,54,1
0.7,0.3,38,61,1
0.65,0.3,41,58,1
0.6,0.3,42,54,4
0.55,0.3,60,37,3
0.5,0.3,58,37,5
0.45,0.3,51,45,4
0.4,0.3,56,42,2
0.35,0.3,56,39,5
0.3,0.3,61,35,4
0.25,0.3,55,45,0
0.2,0.3,50,47,3
0.15,0.3,58,42,0
0.1,0.3,52,46,2
0.05,0.3,46,51,3
0.95,0.25,33,65,2
0.9,0.25,47,51,2
0.85,0.25,41,57,2
0.8,0.25,42,55,3
0.75,0.25,53,46,1
0.7,0.25,48,49,3
0.65,0.25,36,60,4
0.6,0.25,46,49,5
0.55,0.25,48,50,2
0.5,0.25,60,36,4
0.45,0.25,52,45,3
0.4,0.25,54,44,2
0.35,0.25,57,41,2
0.3,0.25,61,37,2
0.25,0.25,54,43,3
0.2,0.25,52,46,2
0.15,0.25,53,44,3
0.1,0.25,46,51,3
0.05,0.25,67,32,1
0.95,0.2,39,57,4
0.9,0.2,43,51,6
0.85,0.2,39,60,1
0.8,0.2,42,55,3
0.75,0.2,43,57,0
0.7,0.2,42,54,4
0.65,0.2,44,53,3
0.6,0.2,45,54,1
0.55,0.2,60,37,3
0.5,0.2,59,35,6
0.45,0.2,53,44,3
0.4,0.2,59,39,2
0.35,0.2,58,40,2
0.3,0.2,57,43,0
0.25,0.2,47,48,5
0.2,0.2,59,38,3
0.15,0.2,46,51,3
0.1,0.2,54,44,2
0.05,0.2,54,42,4
0.95,0.15,43,55,2
0.9,0.15,31,68,1
0.85,0.15,44,53,3
0.8,0.15,49,47,4
0.75,0.15,41,57,2
0.7,0.15,42,56,2
0.65,0.15,45,51,4
0.6,0.15,50,50,0
0.55,0.15,51,49,0
0.5,0.15,58,39,3
0.45,0.15,56,42,2
0.4,0.15,60,39,1
0.35,0.15,53,46,1
0.3,0.15,62,35,3
0.25,0.15,57,41,2
0.2,0.15,55,43,2
0.15,0.15,65,33,2
0.1,0.15,53,45,2
0.05,0.15,53,46,1
0.95,0.1,40,59,1
0.9,0.1,42,54,4
0.85,0.1,53,46,1
0.8,0.1,44,52,4
0.75,0.1,53,46,1
0.7,0.1,47,53,0
0.65,0.1,46,51,3
0.6,0.1,53,43,4
0.55,0.1,49,48,3
0.5,0.1,62,37,1
0.45,0.1,61,37,2
0.4,0.1,51,45,4
0.35,0.1,68,32,0
0.3,0.1,50,47,3
0.25,0.1,52,46,2
0.2,0.1,67,31,2
0.15,0.1,57,42,1
0.1,0.1,51,45,4
0.05,0.1,52,45,3
0.95,0.05,39,58,3
0.9,0.05,45,55,0
0.85,0.05,40,56,4
0.8,0.05,44,53,3
0.75,0.05,43,55,2
0.7,0.05,47,52,1
0.65,0.05,43,55,2
0.6,0.05,58,38,4
0.55,0.05,54,44,2
0.5,0.05,52,45,3
0.45,0.05,60,39,1
0.4,0.05,57,42,1
0.35,0.05,54,43,3
0.3,0.05,57,42,1
0.25,0.05,58,40,2
0.2,0.05,47,51,2
0.15,0.05,55,41,4
0.1,0.05,62,36,2
0.05,0.05,56,43,1
